City	Library	(Collection + ) Call Number	Witness to text	Specific contents	Main language	Date AH	Date CE	Inferred date		Place	Copyist name	Data from	Ownership	Input (or confirmation) date 	
London	Institute of Ismaili Studies 	MS 87 (G)	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Qism 4, 4.3-4.11)	Arabic	1114/1702					Fāṭimah bint Miyān Khān-jī-bhā’ī	Catalogue		January 2024	https://special-collections.iis.ac.uk/Details/manuscripts/1406
London	Institute of Ismaili Studies 	MS 88 (F)	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Qism 4, 4.1-4.2)	Arabic	1133/1721						Catalogue		January 2024	https://special-collections.iis.ac.uk/Details/manuscripts/1405 
London	Institute of Ismaili Studies 	MS 914	Risālat jāmiʿat al-jāmiʿa	Full copy	Arabic			late 11th/17th C			Miyā Maʾmūjī b. ʿAlī Pāʾīn b. Tājkhān b. Khūj	Vidi (Scan)			
London	Institute of Ismaili Studies 	MS 927	Rasāʾil ikhwān al-ṣafāʾ 	Selections and extracts		1311/1894				Shahjahanpur	Isḥāq b. al-Shaykh al-Fāḍil Sulaymānjī	Vidi (Scan)			
London	Institute of Ismaili Studies 	MSS 992 + 1009	Risālat al-jāmiʿa	Full (2 vols. shelved separately)		1338/1919				India?	Amīn b. ʿAlī al-Kātihyāwārī al-Gādahkarwī	Vidi (Scan)			
London	Institute of Ismaili Studies 	Zāhid Ali MS 1163		Extract in majmūʿa		1294/1877					Faḍl Ali b. Mullā Muḥsin Ali b. Murād Ali	Catalogue			
London	Institute of Ismaili Studies 	Zāhid Ali MS 1264	Risālat al-jāmiʿa	Partial (Volume 2)				mid 13th/19th C			Ismāʿīl b. Mullā Khānbhāʾī 	Vidi (Scan)			
London	Institute of Ismaili Studies 	Zāhid Ali Ms 1277 	Risālat al-jāmiʿa	Partial (Volume 1 + partial vol. 2)				mid 13th/19th C				Vidi (Scan)			
London	Institute of Ismaili Studies 	Zāhid Ali MS 1310	Risālat jāmiʿat al-jāmiʿa	Full copy		1275/1858				India?	Ḥasan ʿAlī Afḍal al-Murād	Vidi (Scan)			
London	Royal Asiatic Society Library	Persian 184	Mujmal al-ḥikma	Full								Catalogue			
London	SOAS Library	MS 45812	Rasāʾil ikhwān al-ṣafāʾ 	Full				11th/17th C				Vidi			
Los Angeles	UCLA	Caro Minasian Collection, box 120, 940		Extracts in majmūʿa						Iran		Catalogue			
Los Angeles	UCLA	Caro Minasian Collection, box 122, 976		Extracts in majmūʿa				12th/17th-18th C		Iran		Catalogue			
Los Angeles	UCLA	M 1434	Mujmal al-ḥikma			1246/1830					Abū Turāb Ḥusaynī Mūsawī 	Catalogue			
Los Angeles	UCLA	M 556	Mujmal al-ḥikma					11th/17th C				Catalogue			
Los Angeles	UCLA	M 77	Persian translation									Catalogue			
Los Angeles	UCLA	Unknown number - 15187?		Possibly not actually Ikhwan-related								Ketabpedia			
Madras	Oriental Manuscripts Library 	MS 150	Rasāʾil ikhwān al-ṣafāʾ 	Full	Arabic							Catalogue			
Madras	Oriental Manuscripts Library 	MS 151	Rasāʾil ikhwān al-ṣafāʾ 	Full	Arabic							Catalogue			
Madras	Oriental Manuscripts Library 	MS 478	Mujmal al-ḥikma	Full	Persian							Catalogue			
Madras	Oriental Manuscripts Library 	MS 879	Mujmal al-ḥikma	Full	Persian							Catalogue			
Madrid 	Escorial	Derenbourg 900	Rasāʾil ikhwān al-ṣafāʾ 	Risāla 22 (2.8)		942/1535-6						Vidi (Scan)			
Madrid 	Escorial	Derenbourg 928 / Casiri 923	Rasāʾil ikhwān al-ṣafāʾ 	Partial (22 first rasāʾil)				before 862/1458		Andalus/Maghrib		Vidi (Scan)			
Madrid 	Escorial	Derenbourg 942 / Casiri 937	Rasāʾil ikhwān al-ṣafāʾ 	Extracts in majmu'a (epistles 13 & 40)		742/1341				Andalus/Maghrib		Vidi (Scan)			
Manchester	John Rylands Library	MS 376	Rasāʾil ikhwān al-ṣafāʾ 	Partial (first qism)				ca. 1750		India?		Catalogue			
Manchester 	John Rylands Library	MS 377	Rasāʾil ikhwān al-ṣafāʾ 	Partial (second qism)				ca. 1780		India?		Catalogue			
Manchester 	John Rylands Library	MS Gaster ar. 174	Rasāʾil ikhwān al-ṣafāʾ 	Geniza fragment epistle on animals								Vidi (scan)			
Manisa	Kitapsaray	MS 2760	Mujmal al-ḥikmat	Full copy?				7th/13th C		Saljuq 		NLAI			
Manisa		Kitapsaray (?) 1705/2	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risalat al-jughrafiya)				7th/13th C				Vidi (scan)			
Mashhad	Dānishgāh-i IIllāhiyāt (Ferdowsi)	MS 14761	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 1 & 2)		1080/1669-70						Catalogue + vidi (scan)		June 2023	Seal of 40th Dawoodi Bohra Dāʿī Hibat Allāh 
Mashhad	Dānishgāh-i IIllāhiyāt (Ferdowsi)	MS 203 (= Mawlawī 2030) 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (13 epistles of qism 1)				8th-9th/14th-15th C 				Catalogue + vidi (scan)		June 2023	
Mashhad	Dānishgāh-i IIllāhiyāt (Ferdowsi)	MS 429	Mujmal al-ḥikmat	Full copy		937/1530						Catalogue + vidi (scan)		May 2023	
Mashhad	Goharshād Mosque Library	MS 1742	Mujmal al-ḥikmat	Full copy	Persian	1038/1629						Catalogue		May 2023	
Mashhad	Goharshād Mosque Library	MS 256	Mujmal al-ḥikmat 	Full copy	Persian			13th/19th C				Catalogue		May 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi	MS 10479	Mujmal al-ḥikmat	Full copy	Persian	1300/1882-3						Catalogue		May 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi	MS 402	Persian translation	Full copy?	Persian							Website AQR			
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi	MS 526	Rasāʾil ikhwān al-ṣafāʾ 	Full		1238/1822-3					Aḥmad b. Muḥammad ʿAlī Iṣfahānī	Catalogue		June 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi	MS 528	Rasāʾil ikhwān al-ṣafāʾ 	Partial (13 of Qism 1, 2 of Qism 3)		1265/1848-9					Rajab ʿAlī b. ʿAbdallāh Iṣfahānī	Catalogue	Copied for prince Imamqoli Mīrzā, ruler of Kermanshāh (r. 1268-92)	June 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi	MS 529	Rasāʾil ikhwān al-ṣafāʾ 	Partial (2.8-2.17)								Catalogue		June 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi 	MS 10755	Mujmal al-ḥikmat	Full copy	Persian			11th/17th C				Catalogue		May 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi 	MS 23432		Extract/summary		1058/1648				Iran		NLAI			
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi 	MS 24175		Mujmal al-ḥikmat (Persian)				10th/16th C				Catalogue		May 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi 	MS 26338 		Mujmal al-ḥikmat								Catalogue		May 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi 	MS 27516		Persian translation 				13th/19th C			Moqaddasi b. Nasr ū-Dīgerān	NLAI			
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi 	MS 27804		Full?				12th/18th C				Website AQR		June 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi 	MS 34773		Persian translation		1263/1846-7						Website AQR		June 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi 	MS 37654 		Mujmal al-ḥikmat (Persian)				12th/18th C				Webstie AQR		June 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi 	MS 527	Rasāʾil ikhwān al-ṣafāʾ 	Full 		1097/1685-6					ʿAbdallāh Baḥrānī	Catalogue		June 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi 	MS 6920	Mujmal al-ḥikmat	Full copy	Persian	1240/1824-5						Catalogue 		May 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi 	MS 8756	Mujmal al-ḥikmat 	Full copy	Persian	971/1564						Catalogue		May 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi  	MS 12319		Partial (qism 2)								Catalogue		June 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi  	MS 13735/2		Extract in majmu'a?		1134/1721-2?						Website AQR		June 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi  	MS 22759		Partial (beginngin up to 4.3.)								Catalogue		June 2023	
Mashhad	Ketābkhāne Āstān-i quds-i Rezawi  	MS 5500	Mujmal al-ḥikmat	Extract 	Persian							Catalogue		May 2023	
Mashhad	Maktabat Maybadī	MS 334	Mujmal al-ḥikmat	Full copy	Persian			11th/17th C				Catalogue		May 2023	
Mashhad	Shaykh ʿAlī Ḥaydar	MS 1272	Mujmal al-ḥikmat	Full copy	Persian			pre-1278 AH				Catalogue		May 2023	
Maṣyāf	?	?		Risālat jāmiʿat al-jāmiʿa								Non vidi (Tamir)			
Medina	ʿĀrif Ḥikmet Library 	MS 266/3 	Mujmal al-ḥikmat 	Extract (?) in majmūʿa								Danishpazhuh ed.			
Milan	Ambrosiana	& 118 Sup	Rasāʾil ikhwān al-ṣafāʾ 	Extracts in majmūʿa (2.8-2.10)				7th/13th C				Catalogue			
Milan	Ambrosiana	C 93	Rasāʾil ikhwān al-ṣafāʾ + Risālat jāmiʿat al-jāmiʿa	Partial (2.9-2.13 + 1.9) + Risalat Jami'at al-jami'a		1055/1645						Vidi			
Milan	Ambrosiana	MS 1518	Rasāʾil ikhwān al-ṣafāʾ 	Four rasāʾil		795/1392					Muḥammad b. Sulaymān b. Muḥammad al-ʿArjī 	Catalogue			
Milan	Ambrosiana	X 82 sup.	Rasāʾil ikhwān al-ṣafāʾ 	Partial (epistles 1-6)				7th/13th C				Vidi			
Mosul	Madrasa al-Aḥmadiyya	MS 19/4		Extract or fragment								NLAI			
Mumbai	Mulla Firuz Library	Supplement Logic and Philosophy V.1 	Mujmal al-ḥikma	Full? 								Catalogue			
Mumbai	University Library	Fyzee MS 3	Rasāʾil ikhwān al-ṣafāʾ 	Partial (first two aqsām)								Catalogue			
Mumbai	University Library	Fyzee MS 4	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 2)								Catalogue			
Mumbai	University Library	Fyzee MS 5	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 3)								Catalogue			
Mumbai	University Library	Fyzee MS 6	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 4)								Catalogue			
Mumbai	University Library	Fyzee MS 7		Extracts in majmūʿa (rasāʾil 26, 27)								Catalogue			
Mumbai	University Library	Fyzee MS 8	Risālat al-jāmiʿa	Vol. 2 only								Catalogue			
Mumbai	University Library	Fyzee MS 9	Risālat jāmiʿat al-jāmiʿa	Risālat jāmiʿat al-jāmiʿa fī l-ḥaqāʾiq 		1270 / 1854				India?	ʿAbd al-Qādir b. Māmā Jaʿfarjī b. Nūrbhāʾī	Catalogue			
Munich	Bayerische Staatsbibliothek	Cod.arab. 652	Rasāʾil ikhwān al-ṣafāʾ 	Full copy				12th/18th C		Istanbul	Copied for ʿAbd al-Raḥman al-Jabartī 	Vidi (Scan)			
Munich	Bayerische Staatsbibliothek	Cod.arab. 653	Risālat al-Jāmiʿa					pre-1188AH				Vidi (Scan)			
Munich	Bayerische Staatsbibliothek	Cod.arab. 654	Rasāʾil ikhwān al-ṣafāʾ 	Full copy				13th/19th C		Paris?	Michel Sabbâgh	Catalogue			
Munich	Bayerische Staatsbibliothek	Cod.arab. 655	Rasāʾil ikhwān al-ṣafāʾ 	Risāla 21 (case of animals vs. men)						India		Catalogue			
Najaf 	Amīr al-Muʾminīn Library	MS 1404	Mujmal al-ḥikma	Full copy?		1110/1698					Muḥammad Shafīʿ b. Muḥammad Muqayyim Ardakānī	Website		June 2023	
Najaf 	Kāshif al-Ghiṭā’ al-ʿĀmmā	MS 555	Bilingual Persian-Arabic text أجوبة مسائل اخوان الصفا by Kāẓim al-Rashtī (d. 1843)	Potentially unrelated		1237/1821-2					Aḥmad al-Khurāsānī 	NLAI + Library catalogue		dec 2023	
Najaf 	Library of Ayatollah Jaʿfar Baḥr al-ʿUlūm	MS 41	Mujmal al-ḥikma	Full copy?		before 1282/1865-6						Catalogue	Owned by Qajar prince Farhād Mīrzā 		
Najaf 	Madrasa al-Sharabyānī	MS 1	Rasāʾil ikhwān al-ṣafāʾ 	Full 		1245/1829				Isfahan? 	"al-kātib al-iṣfahānī" 	NLAI			
New Haven	Yale Beinecke Library	Arabic MSS 532		Extract in majmūʿa (risāla 11)	Arabic			ca.1800				Catalogue			
New York City	Jewish Theological Seminary	ENA 4193.2-10 (Geniza)		Nine folios from epistle on senses								Vidi (scan)			
New York City	Public Library	V.161/M&A 51871A	Rasāʾil ikhwān al-ṣafāʾ 	Partial (fihrist, Aqsam 1 & 2)	Arabic			8th/14th C (GVDB thinks rather 16th)				Vidi		October 2023	
Oman (Muscat?)	Ministry of Culture	MS 2350	Rasāʾil ikhwān al-ṣafāʾ 	Full copy?								Website			
Oxford	Bodleian	Fraser 180	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa								Vidi			
Oxford	Bodleian	Huntington 296	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Aqsām 1-3)								Vidi			
Oxford	Bodleian	Ind. Inst. Arab. 14	Rasāʾil ikhwān al-ṣafāʾ 	Risāla 8 (partial) + Persian glosses		1234-4/1828 				Yerevan?		Vidi			
Oxford	Bodleian	Laud Or. 255	Rasāʾil ikhwān al-ṣafāʾ 	Full		803? 						Vidi	Owned by al-Taqawī (see Benedikt Reier)		
Oxford	Bodleian	Laud Or. 260	Rasāʾil ikhwān al-ṣafāʾ 	Full		968/1560					al-Qadīr Aḥmad b. ʿAlī al-Saʿūdī 	Vidi			
Oxford	Bodleian	Marsh 189	Rasāʾil ikhwān al-ṣafāʾ 	Full		981/1574						Vidi			
Oxford	Bodleian	Marsh 502	Risālat al-Jāmiʿa	Partial								Vidi			
Oxford	Bodleian	Marsh 524 	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (Three Rasāʾil)				9th/15th C		Mecca?		Vidi			
Oxford	Bodleian	Pococke 178	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Part 2)		1541 CE?					Jirjis al-ḥakīm	Vidi			
Oxford	Bodleian	Pococke 261	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Aqsām 3-4)								Vidi			
Oxford	Bodleian	Pococke 342	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Rasāʾil 32-51)								Vidi			
Oxford	Bodleian	S. Digby Or. 109 	Mujmal al-ḥikma	Full		1095/1684						Vidi			
Paris	Bibliothèque nationale de France	Arabe 2303	Rasāʾil ikhwān al-ṣafāʾ 	Full		1020/1611						Vidi (Scan)			
Paris	Bibliothèque nationale de France	Arabe 2304	Rasāʾil ikhwān al-ṣafāʾ 	Full		1065/1654				Cairo?	Ḥasan b. ʿAlī b. ʿAlī al-Azharī al-Nashratī	Vidi (Scan)			
Paris	Bibliothèque nationale de France	Arabe 2305	Rasāʾil ikhwān al-ṣafāʾ 	Full		1153/1740					Muḥammad b. ʿĪsā b. Ibrāhīm al-Kūrānī al-Ḥusaynī	Vidi (Scan)			
Paris	Bibliothèque nationale de France	Arabe 2306	Risālat al-Jāmiʿa	Partial (vol. 1)								Vidi (Scan)			
Paris	Bibliothèque nationale de France	Arabe 2307	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa				11th/17th C				Vidi (Scan)			
Paris	Bibliothèque nationale de France	Arabe 2308	Rasāʾil ikhwān al-ṣafāʾ 	Single risāla 5 (1.5)								Vidi (Scan)			
Paris	Bibliothèque nationale de France	Arabe 2309	Rasāʾil ikhwān al-ṣafāʾ + Risālat al-Jāmiʿa	Three rasāʾil + RJ extracts 						Maṣyaf?		Vidi (Scan)			
Paris	Bibliothèque nationale de France	Arabe 2341-2344	Rasāʾil ikhwān al-ṣafāʾ 	Full (four MS vols.)		1228/1813						Vidi (Scan)			
Paris	Bibliothèque nationale de France	Arabe 4663	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa								Vidi (Scan)			
Paris	Bibliothèque nationale de France	Arabe 6000	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Eight first epistles)								Vidi (Scan)			
Paris	Bibliothèque nationale de France	Arabe 6647-6648	Rasāʾil ikhwān al-ṣafāʾ 	Full (two-volume set)				7th/13th C		Yazd		Vidi (Scan)			
Paris	Bibliothèque nationale de France	Persan 131	Mujmal al-ḥikma	Full	Persian	844/1440						Vidi (Scan)			
Paris	Bibliothèque nationale de France	Persan 162	Mujmal al-ḥikma	Extract (?) in majmūʿa	Persian	848/1444					Šāhīn b. ʿAbd al-Raḥman al-Muḥarrir	Vidi (Scan)			
Paris	Bibliothèque nationale de France	Supplément Persan 322	Mujmal al-ḥikma	Full	Persian	924/1518					Fakhr al-Dīn b. Muḥammad al-Khunjī 	Danishpazhuh ed.			
Patna 	Khuda Bakhsh Oriental Public Library	2222 (NLAI says 2962)	Rasāʾil ikhwān al-ṣafāʾ 	Full? 		1190/1776						Catalogue + NLAI			
Princeton	Princeton University Library	Garett 189Lq	Rasāʾil ikhwān al-ṣafāʾ 	Partial (first ten rasāʾil)		1127/1715					ʻAbd al-Qādir ibn Ṣafāy Chalabī ibn Ṭāhā	Catalogue			
Princeton	Princeton University Library	Garrett 4263Y	Rasāʾil ikhwān al-ṣafāʾ 	Partial (1.1-1.13; 4.8-4.9)		958/1551				Damascus	al-Bakrī al-Dhabāḥ	Vidi (scan)			
Princeton	Princeton University Library	Garrett no. 52B	Rasāʾil ikhwān al-ṣafāʾ 	Extracts in majmūʿa				12th/18th C		Iran?		Catalogue			
Princeton	Princeton University Library	Garrett no. 832Y	Rasāʾil ikhwān al-ṣafāʾ 	Extracts in majmūʿa				17th or 18th C		Iran?		Catalogue			
Princeton	Princeton University Library	New Series no. 192	Mujmal al-ḥikma	Full	Persian					Iran?		Catalogue			
Princeton	Princeton University Library	New Series no. 2005	Rasāʾil ikhwān al-ṣafāʾ 	Extracts in majmūʿa				11th/17th C		Iran?		Catalogue			
Princeton	Princeton University Library	New Series no. 418	Rasāʾil ikhwān al-ṣafāʾ 	Extracts in majmūʿa						Iran?		Catalogue			
Princeton	Princeton University Library	New Series no. 459	Rasāʾil ikhwān al-ṣafāʾ 	Extracts in majmūʿa		1104/1693 				Iran?		Catalogue			
Qadmūs	?	?	Risālat jāmiʿat al-jāmiʿa	Full copy?								Non vidi (Tamir)			
Qazwīn	Imām Ṣādiq	MS 276 	Mujmal al-ḥikmat  	Partial copy	Persian							Catalogue		May 2023	
Qom	Golpāygānī 	MS ۶۸۵۱-۳۵/۳۱	Rasāʾil ikhwān al-ṣafāʾ 	Full copy		1233/1818					Muḥammad Bāqir b. Muḥammad Ḥusayn Muḥammad Ābādī Jarqawiyya Iṣfahānī	Catalogue		June 2023	
Qom	Markaz-i iḥyāʾ-i mīrāth	MS 353 		Persian translation (acephalous)				11th/17th C		Iran?		NLAI			
Qom	Marʿashī Library	MS 12456 		Mujmal al-ḥikmat (Persian)		1085/1674-5						Catalogue		May 2023	
Qom	Marʿashī Library	MS 13421	Versified abridgement of some rasāʾil	 by Fayḍ Kāshānī				late 11th/17th C		Iran		NLAI			
Qom	Marʿashī Library	MS 16163		Mujmal al-ḥikmat (Persian), partial				12th/18th C				Catalogue		May 2023	
Qom	Marʿashī Library	MS 3716/3		Persian extract in majmu'a		1097/1685-6				Iran	Ṣadr al-Dīn Muḥammad Ḥusaynī 	Catalogue		June 2023	
Qom	Marʿashī Library	MS 5300	Rasāʾil ikhwān al-ṣafāʾ 	Full copy 				11th/17th C				Catalogue		June 2023	
Qom	Marʿashī Library	MS 7568	Risālat al-Jāmiʿa	Full copy?				11th/17th C				NLAI			
Qom	Marʿashī Library	MS 7869-7870	Rasāʾil ikhwān al-ṣafāʾ 	Full copy (two volumes)		848/1444					Maḥmūd b. Dawlatkhān Wāhiyāri Dakkawī (only noted on 7870)	Catalogue		June 2023	
Qom	Marʿashī Library	MS13660/1		Mujmal al-ḥikmat (Persian) in majmūʿa		1071/1660				Bastam	Muḥsin b. Muḥammad Bāyazīd Bisṭāmī	Catalogue		May 2023	
Qom	Masjid-i Aʿẓam	MS 1397 		Mujmal al-ḥikmat (Persian) 				pre-1198 AH				Catalogue		May 2023	
Qom	Masjid-i Aʿẓam	MS 1830 		Mujmal al-ḥikmat (Persian) 								Catalogue		May 2023	
Qom 	Golpāygānī	MS ۲۵/۱۴۶-۵۰۵۶/۱۱		Mujmal al-ḥikmat (Persian)				13th/19th C				Catalogue		May 2023	
Qom 	Golpāygānī	MS 4/174-704		Mujmal al-ḥikmat (Persian)				11th/17th C				Catalogue		May 2023	
Qom 	Golpāygānī 	MS ۵۸۷/۲-۴/۵۷	Risālat al-Jāmiʿa	Full copy?							Muḥammad ʿAlī Ḥusaynī	Catalogue		June 2023	
Rabat 	Bibliothèque nationale du royaume de Maroc	K 365	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism one)		619/1222				Konya	Ismāʿīl b. ʿUmar b. Badl al-khaṭīb al-D-m-7-rqani	Vidi (scan)			
Rampur	Raza Library	3473/651 D.	Rasāʾil ikhwān al-ṣafāʾ 	Full				10th/16th C				Catalogue			
Rampur	Raza Library	3474/19 M.	Rasāʾil ikhwān al-ṣafāʾ 	Full				11th/17th C				Catalogue			
Rampur	Raza Library	3475/330D. 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (qism 1)		1140/1727						Catalogue			
Riyadh	King Faisal Center	MS 00019	Rasāʾil ikhwān al-ṣafāʾ 	Partial		1054/1644					Aḥmad b. Sharaf al-Dīn	Website	Copied for wālī Ḥasan Bāshā		
Riyadh	King Faisal Center	MS 00020 	Rasāʾil ikhwān al-ṣafāʾ 	Partial				11th/17th C				Website			
Riyadh	King Faisal Center	MS 2674	Rasāʾil ikhwān al-ṣafāʾ 	?	Arabic	1289/1872				Acre		Furqan		August 2023	
Riyadh 	Maktabat Muḥammad b. ʿAbd al-Raḥmān al-ʿUbaykān	MS 92	Rasāʾil ikhwān al-ṣafāʾ (?)	?	Arabic	1245/1829					Manṣūr b. Anwar ʿAlī 	Furqan		August 2023	
Salamiyya	?	?	Risālat jāmiʿat al-jāmiʿa	Full? 								Non vidi (Tamir)	Possibly same as below		
Salamiyya	Private amir library	MS (no number)	Risālat jāmiʿat al-jāmiʿa	Full? 		1241/1825						Non vidi (Saliba)	Possibly same as above		
Salamiyya	Private collection	?	Risālat jāmiʿat al-jāmiʿa	Full? 		1349/1930					Ibrāhim Qāsim Aḥmad ‘Aṭiyya	Semi-vidi (Kacimi repro)			
Sanaa	Dār al-Makhṭūṭāt wa-l-Maktabat al-Gharbiyya bi-l-Jāmiʿ al-Kabīr MS 2202	MS 2202	Rasāʾil ikhwān al-ṣafāʾ 	Partial copy (qism 4, 14 epistles)	Arabic	1292/1875					Yaḥyā b. Muḥammad	Furqan		August 2023	
Shiraz	National Library 	MS 110	Mujmal al-ḥikmat 	Partial copy (acephalous MS)	Persian							Danishpazhuh ed.			
Shiraz	ʿAlāma Ṭabāṭabāʾī	MS 1261	Mujmal al-ḥikmat 	Full?	Persian							Catalogue		May 2023	
Shiraz	ʿAlāma Ṭabāṭabāʾī	MS 1262	Mujmal al-ḥikmat  	Full?	Persian							Catalogue		May 2023	
St. Petersburg	National Library of Russia	Arabic Manuscripts B 1029		? (contains Astrolabe risala)								ISMI Website			
St. Petersburg	National Library of Russia	Firkovich Yevr.-Arab I 3145	Rasāʾil ikhwān al-ṣafāʾ 	Fragment of Risāla on Magic (52b) in Judeo-Arabic				7th-8th/13th-14th C		Cairo?		Ehud Krinis			
St. Petersburg	National Library of Russia	Firkovich Yevr.-Arab II 1193, 55, 1060, 448 & Yevr-Arab 1213	Risālat al-Jāmiʿa	51 pages in Judeo-Arabic				Before 16th C		Cairo?		Ehud Krinis			
Tabriz	Central University Library	MS 561	Risālat al-Jāmiʿa	Full?		1307/1889-90						NLAI			
Tabriz	Edebiyat University Library	MS 8	Risālat al-Jāmiʿa	Full?		1037/1627						NLAI			
Tabriz	Khādim Ḥusaynī	MS 30	Rasāʾil ikhwān al-ṣafāʾ 	Partial		670/1271-2						Catalogue		June 2023	
Tabriz	National Library	MS 3409		Persian translation of one risala	Persian	1057/1647				Bandar al-Sūriyyeh (?)	Mu'izz al-Din Mu'izz al-Mulk	Catalogue		June 2023	
Tashkent 	Biruni Institute	13236/4 and 5	Mujmal al-ḥikma	Extracts in majmu'a	Persian	1269/1852-53					اوراض على مخذوم بن صفا مخذوم گورلانلی	http://scam.beruni.uz/scam/items/19638		november 2022	
Tashkent 	Biruni Institute	MS 560	Rasāʾil ikhwān al-ṣafāʾ 	Partial (3.13-end?)		637/1240					Muḥammad b. Masʿūd b. Aḥmad al-Bukhārī 	http://scam.beruni.uz/scam/items/1344		november 2022	
Tbilisi	Georgian National Center of Manuscripts	Oriental Collection MS 54 	Mujmal al-ḥikma	Full?	Persian	1031/1621-2						edition + potentially image on http://astronomicalmanuscripts.ge/persian%20manuscripts.html		June 2023	
Tehran	Dā’irat al-maʿārif-i buzurg-i islāmī 	MS 113 		Mujmal al-ḥikma		1059/1649						Catalogue			
Tehran	Dā’irat al-maʿārif-i buzurg-i islāmī 	MS 1662 ʿaksī 		Full, but may be a microfilm		1075/1664						Catalogue			
Tehran	Dā’irat al-maʿārif-i buzurg-i islāmī 	MS 1700	Risālat al-Jāmiʿa	Full copy?		684/1285					Muḥammad b. Muḥammad al-muṭabbib al-Dimashqī 	NLAI			
Tehran	Dā’irat al-maʿārif-i buzurg-i islāmī 	MS 80/10 		Mujmal al-ḥikma		1279/1862-3					Kāẓim b. Āghā Kūchik Khāmūsh Iṣfahānī 	Catalogue			
Tehran	Dā’irat al-maʿārif-i buzurg-i islāmī 	MS 823 ʿaksī 		Full, but may be a microfilm				7th/13th C				NLAI			
Tehran	Dānishgāh-i Adabiyyat Library	MS 120 D		Mujmal al-hikmat (Persian) 		1046/1636					Muḥammad Rabīʿ b. ʿĀrif Fīrūzābādī 	Catalogue		June 2023	
Tehran	Dānishgāh-i Adabiyyat Library	MS 78/16 J		Extract in majmūʿa		1063/1652						NLAI			
Tehran	Dānishgāh-i Adabiyyat Library 	336/7 ḥikmat		Extract in majmūʿa (11th risala)		1276/1860				Tehran		Catalogue		June 2023	
Tehran	Doctor Yūsuf Nīrī (private library?)	?	Mujmal al-ḥikmat	Full?	Persian							Danishpazhuh ed.			
Tehran	Fakhr al-Dīn Naṣīrī (private library?)	MS 324	Mujmal al-ḥikmat	Full?	Persian	1048/1638-9						Danishpazhuh ed.			
Tehran	Golestan	MS 189/2	Mujmal al-ḥikma	Full?	Persian	1056/1642						Danishpazhuh ed.			
Tehran	K. Markazī Dānishgāh-i Tehrān	MS 1113/16		Mujmal al-ḥikmat in majmu'a								Catalogue		May 2023	
Tehran	K. Markazī Dānishgāh-i Tehrān	MS 1155 		Full copy		968/1561				Cairo	Muḥammad b. Muḥammad b. Bahāʾ al-Dīn Anṣārī Hawī	Catalogue		June 2023	
Tehran	K. Markazī Dānishgāh-i Tehrān	MS 2271/5		Mujmal al-ḥikmat in majmu'a		1270/1853-4						Catalogue		May 2023	
Tehran	K. Markazī Dānishgāh-i Tehrān	MS 302/1		Mujmal al-ḥikmat in majmu'a		1111/1700					Muḥammad Kāẓim b. Muḥammad Ḥusayn Ḥusaynī Maḥallātī	Catalogue		May 2023	
Tehran	K. Markazī Dānishgāh-i Tehrān	MS 3444	Persian translation	Full copy?		1031/1622									
