City	Library	(Collection + ) Call Number	Witness to text	Specific contents	Main language	Date AH	Date CE	Inferred date		Place	Copyist name	Data from	Ownership	Input (or confirmation) date 	
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Hayʾa 43		Single risāla (Hayʾa)		1237/1821						ISMI Website		april 2024	
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Hayʾa 49		Photocopy of single risāla (Hayʾa) from British Library Add. 9599								ISMI Website		april 2024	
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Ḥikmat Taymūr 143	Rasāʾil ikhwān al-ṣafāʾ 	Fulll? 								Non vidi (MALECSO)			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Khidiwiyya 9509	Rasāʾil ikhwān al-ṣafāʾ 	Full?		1279/1862						Catalogue			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Khidiwiyya 9510	Rasāʾil ikhwān al-ṣafāʾ 	Fragment of risāla 14								Catalogue			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Khidiwiyya 9875	Rasāʾil ikhwān al-ṣafāʾ 	Partial (27 rasāʾil)								Catalogue			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Majāmīʿ Taymūr 14/2	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risala on music)								Saramusik			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Majāmīʿ Taymūr 331		Rasāʾil ikhwān al-ṣafāʾ wa-hidāyā akhdān al-wafāʾ by Shihāb al-Dīn al-Khafājī (d. 1069/1659)								Database			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Mīqāt 122	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risāla 1)				ca. 1150/1730				Non vidi (King)			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Musṭafā Fāḍil mīqāt 166	Rasāʾil ikhwān al-ṣafāʾ 	Extract in majmūʿa (risāla 3)				ca. 1100/1700				Non vidi (King)			
Cairo 	Dār al-kutub wa-l-wathāʾiq al-qawmiyya 	Ṭalʿat ḥikma 383	Rasāʾil ikhwān al-ṣafāʾ 	Full?				ca. 600/1200				Non vidi (King)			
Calcutta	Asiatic Society	O 2  		Partial (from eleventh risala?)								Catalogue			
Calcutta	Asiatic Society	Ob 12	Mujmal al-ḥikma	First qism only	Persian			12th/18th C				Catalogue			
Calcutta	Asiatic Society	Q 48 787		Extract in majmu'a								Catalogue			
Calcutta	Buhar Library	MS 337	Rasāʾil ikhwān al-ṣafāʾ 	Full				9th/15th C				Catalogue 			
Calcutta	Buhar Library 	Persian MSS No. 207 		Tarjuma-yi Mujmal al-ḥikma				9th/15th C				Catalogue			
Cambridge	King’s	Pote 2	Rasāʾil ikhwān al-ṣafāʾ 	Partial (?)	Arabic			pre-1118AH				Catalogue			
Cambridge	University Library	E.G. Browne 1	Mujmal al-ḥikma	Mujmal al-ḥikmat (Persian)	Persian			before 1302/1885				Catalogue			
Cambridge	University Library	T-S Ar. 40.98	Rasāʾil ikhwān al-ṣafāʾ 	Single folio of epistle 13								Vidi (scan)			
Cambridge	University Library	T-S Ar. 41.23	Rasāʾil ikhwān al-ṣafāʾ 	Single folio of epistle 5				5th/11th century?				Vidi (scan)			
Cambridge	University Library	T-S Ar. 43.276	Rasāʾil ikhwān al-ṣafāʾ 	Single folio of epistle 35 	Judeo-Arabic							Vidi (scan)			
Cambridge	University Library	T-S Ar. 43.279	Rasāʾil ikhwān al-ṣafāʾ 	Single folio of epistle 19 and 21 	Judeo-Arabic							Vidi (scan)			
Copenhagen	Royal Danish Library	Cod. Arab. A.C. 20	Rasāʾil ikhwān al-ṣafāʾ 	Partial (24 epistles, from 2.15 onwards)		1191/1777-8					Muḥammad Maḥmūd Muḥammad Urdī 	Catalogue			
Damascus	National Library	MS 1477	Risālat al-Jāmiʿa					11th/17th C		Tripoli	 ʿAbd al-Razzāq al-Kūkājī al-Ḥamawī	Catalogue	Made for beylerbey		
Damascus	National Library	MS 5637	Rasāʾil ikhwān al-ṣafāʾ 	Partial 	Arabic			at the earliest 1041			Ḥusayn al-Ḥusaynī	Furqan		August 2023	
Damascus	National Library	MS 7374	Risālat al-Jāmiʿa									Catalogue			
Damascus	National Library	MS 9323 	Rasāʾil ikhwān al-ṣafāʾ 	Partial (Fihrist up to 3.10)	Arabic	1199/1785				Qadmus?	Aṣlān b. Ismāʿīl Z-gh-bī	Furqan		August 2023	
Damascus	National Library	MS 9900	Risālat al-Jāmiʿa			1280/1863-4					ʿAbd Allāh Ḥamdūsh & Maḥmūd ʿAlī Sulaymān	Catalogue			
Djerba 	Barounia	452 - 256		Full? (only 91 pages?)								Catalogue			
Dublin 	Chester Beatty	MS 5425		Partial				7th/13th C				Catalogue			
Dushanbe	Academy of Sciences of Tajikistan	MS 361	Mujmal al-ḥikma	Full copy?				12th/18th C			Sayyid 'Ali Mūjānī & Amriyazdān 'Alī Mardān ? 	NLAI			
Edirne	Selimiye	MS 388	Rasāʾil ikhwān al-ṣafāʾ 	Partial (half of qism 1, half of qism 2		602/1205					ʿUmar b. al-Ḥasan al-Tiflīsī 	Vidi (Scan)			
Eton	Eton College Library	Pote 400 (Margoliouth 82)		Mujmal al-ḥikmat (Persian)		1085/1675				India?	Muḥammad ʿAbīd 	Catalogue			
Gotha	Forschungsbibliothek	Ms. orient. A 157	Rasāʾil ikhwān al-ṣafāʾ 	Partial (epistles 1-13)				Before 1134 / 1721-22				Catalogue			
Hamadan	Madrasa-yi Gharb 	MS 402		Mukhtasar (no further info)								Catalogue		June 2023	
Hamadan	Majmū'e Ḥājī Ezadī	MS 13		Mujmal al-ḥikmat (Persian) in majmūʿa		1079/1669						Aghabozorg.ir			
