library	city	latitude	longitude
Bibliothèque nationale du royaume de Maroc	Rabat	34.008408	-6.842638
Raza Library	Rampur	28.8118734	79.0230539
al-Jāmiʿa al-imām Muḥammad b. Saʿūd al-islāmiyya	Riyadh	24.8119621	46.7009464
King Faisal Center	Riyadh	24.6910936	46.684715
Maktabat Muḥammad b. ʿAbd al-Raḥmān al-ʿUbaykān	Riyadh	24.71014771	46.67168801
Maktabat Malik ʿAbd al-ʿAzīz al-ʿāmma	Riyadh	24.71354422	46.75356146
?	Salamiyya	35.0122438	37.0529037
Private amir library	Salamiyya	35.0122438	37.0529037
Private collection	Salamiyya	35.0122438	37.0529037
Dār al-Makhṭūṭāt wa-l-Maktabat al-Gharbiyya bi-l-Jāmiʿ al-Kabīr	Sanaa	15.35372464	44.21498779
National Library	Shiraz	29.62963391	52.5571991
ʿAlāma Ṭabāṭabāʾī	Shiraz	35.74821351	51.47237294
Institute of Oriental Studies	St. Petersburg	59.94425975	30.3219546
National Library of Russia	St. Petersburg	59.93341372	30.33534975
Central University Library	Tabriz	38.05102426	46.33160017
Edebiyat University Library	Tabriz	35.77770205	51.38040125
Khādim Ḥusaynī	Tabriz	38.0791831	46.2886732
National Library	Tabriz	38.07510185	46.297522
Biruni Institute	Tashkent	41.30665845	69.28657494
Georgian National Center of Manuscripts	Tbilisi	41.7176289	44.7830364
Anjumān-e āthār ve-mafākhir-i farhangī	Tehran	35.6754008	51.40324323
Dā’irat al-maʿārif-i buzurg-i islāmī	Tehran	35.8169432	51.48216329
Dānishgāh-i Adabiyyat Library	Tehran	35.70378402	51.39694183
Doctor Yūsuf Nīrī (private library?)	Tehran	35.7218583	51.3346954
Fakhr al-Dīn Naṣīrī (private library?)	Tehran	35.7218583	51.3346954
Golestan	Tehran	35.67997015	51.42053955
K. Markazī Dānishgāh-i Tehrān	Tehran	35.70326227	51.39491533
Lughat Nāme Dehkhodā	Tehran	35.74445363	51.30395987
Mahdawi	Tehran	35.7218583	51.3346954
Majlis-i Shūrā Library	Tehran	35.68963983	51.43315328
Majmūʿa-yi Ḥusayn Miftāḥ	Tehran	35.7218583	51.3346954
Malek	Tehran	35.687148	51.4166135
Marawi Madrasa Library	Tehran	35.67926442	51.42423569
Melli / National Library	Tehran	35.75215183	51.43420943
Majmūʿa-yi Ḥusayn Miftāḥ	Tehran	35.7218583	51.3346954
Mu’assasat-i Matali’a-yi Islami	Tehran	35.7218583	51.3346954
Mujtabā Maynawī	Tehran	35.72460592	51.44431015
Nūrbakhsh Library	Tehran	35.7270034	51.5006093
Sepahsalar Madrasa	Tehran	35.68902575	51.43311704
Sulṭanatī	Tehran	35.81189978	51.47390003
Tehran University Ilahiyāt	Tehran	35.72558629	51.42840673
Rajasthan Arabic and Persian Research Institute	Tonk	26.1659063	75.7962852
Birnbaum Collection	Toronto	43.66418226	-79.39901599
Universitätsbibliothek	Tübingen	48.5252713	9.061971
University Library	Turin	45.06844016	7.686885984
Uppsala University Library	Uppsala	59.8549802	17.6311259
Vatican Library	Vatican	41.9047722	12.4549549
Österreichische Nationalbibliothek	Vienna	48.2062609	16.3668953
Vienna Academy	Vienna	48.20162	16.3652434
Jāmiʿat al-Malik ʿAbd al-ʿAzīz	Jedda	21.49461556	39.24804635
Maktabat al-Malik ʿAbd al-ʿAzīz al-ʿāmma	Riyadh	24.71354422	46.75356146
Unknown family library	Gorno-Badakhshan	38.32499062	72.14813913
	Riyadh	24.71349895	46.67423229
	Tehran	35.7218583	51.3346954
Christies	Unknown	51.50663295	-0.1375504738
Piasa	Unknown	48.87204699	2.314017184
Sotheby's	Unknown	51.51188572	-0.1437987932
Iran?	Unknown	35.7218583	51.3346954
